id,text,aspects,category
11,The hardware is unpleasant. The mousepad is amazing.,"{'term':array(['hardware','mousepad'],dtype=object),'polarity':array(['negative','positive'],dtype=object),'from':array([4,32],dtype=int16),'to':array([12,40],dtype=int16)}","{'category':array(['hardware','mousepad'],dtype=object),'polarity':array(['negative','positive'],dtype=object)}"
12,The design is terrible. The mousepad is unpleasant. The RAM is poor.,"{'term':array(['design','mousepad','RAM'],dtype=object),'polarity':array(['negative','negative','negative'],dtype=object),'from':array([4,28,56],dtype=int16),'to':array([10,36,59],dtype=int16)}","{'category':array(['design','mousepad','RAM'],dtype=object),'polarity':array(['negative','negative','negative'],dtype=object)}"
13,The battery is unpleasant. The mousepad is terrible. The hardware is standard.,"{'term':array(['battery','mousepad','hardware'],dtype=object),'polarity':array(['negative','negative','neutral'],dtype=object),'from':array([4,31,57],dtype=int16),'to':array([11,39,65],dtype=int16)}","{'category':array(['battery','mousepad','hardware'],dtype=object),'polarity':array(['negative','negative','neutral'],dtype=object)}"
14,The keyboard is terrible. The software is terrible.,"{'term':array(['keyboard','software'],dtype=object),'polarity':array(['negative','negative'],dtype=object),'from':array([4,30],dtype=int16),'to':array([12,38],dtype=int16)}","{'category':array(['keyboard','software'],dtype=object),'polarity':array(['negative','negative'],dtype=object)}"
15,The camera is terrible. The GPU is decent. The screen is decent.,"{'term':array(['camera','GPU','screen'],dtype=object),'polarity':array(['negative','neutral','neutral'],dtype=object),'from':array([4,28,47],dtype=int16),'to':array([10,31,53],dtype=int16)}","{'category':array(['camera','GPU','screen'],dtype=object),'polarity':array(['negative','neutral','neutral'],dtype=object)}"
16,The battery is average. The GPU is bad. The design is unpleasant. The camera is excellent.,"{'term':array(['battery','GPU','design','camera'],dtype=object),'polarity':array(['neutral','negative','negative','positive'],dtype=object),'from':array([4,28,44,70],dtype=int16),'to':array([11,31,50,76],dtype=int16)}","{'category':array(['battery','GPU','design','camera'],dtype=object),'polarity':array(['neutral','negative','negative','positive'],dtype=object)}"
17,The design is adequate. The mousepad is excellent.,"{'term':array(['design','mousepad'],dtype=object),'polarity':array(['neutral','positive'],dtype=object),'from':array([4,28],dtype=int16),'to':array([10,36],dtype=int16)}","{'category':array(['design','mousepad'],dtype=object),'polarity':array(['neutral','positive'],dtype=object)}"
18,The GPU is poor. The camera is bad. The software is average. The keyboard is bad.,"{'term':array(['GPU','camera','software','keyboard'],dtype=object),'polarity':array(['negative','negative','neutral','negative'],dtype=object),'from':array([4,21,40,65],dtype=int16),'to':array([7,27,48,73],dtype=int16)}","{'category':array(['GPU','camera','software','keyboard'],dtype=object),'polarity':array(['negative','negative','neutral','negative'],dtype=object)}"
19,The battery is decent. The RAM is terrible. The mousepad is unpleasant.,"{'term':array(['battery','RAM','mousepad'],dtype=object),'polarity':array(['neutral','negative','negative'],dtype=object),'from':array([4,27,48],dtype=int16),'to':array([11,30,56],dtype=int16)}","{'category':array(['battery','RAM','mousepad'],dtype=object),'polarity':array(['neutral','negative','negative'],dtype=object)}"
20,The screen is adequate. The keyboard is unpleasant. The hardware is fair. The camera is impressive.,"{'term':array(['screen','keyboard','hardware','camera'],dtype=object),'polarity':array(['neutral','negative','neutral','positive'],dtype=object),'from':array([4,28,56,78],dtype=int16),'to':array([10,36,64,84],dtype=int16)}","{'category':array(['screen','keyboard','hardware','camera'],dtype=object),'polarity':array(['neutral','negative','neutral','positive'],dtype=object)}"
21,The software is amazing. The keyboard is good. The screen is great.,"{'term':array(['software','keyboard','screen'],dtype=object),'polarity':array(['positive','positive','positive'],dtype=object),'from':array([4,29,51],dtype=int16),'to':array([12,37,57],dtype=int16)}","{'category':array(['software','keyboard','screen'],dtype=object),'polarity':array(['positive','positive','positive'],dtype=object)}"
22,The mousepad is decent. The battery is average. The camera is amazing. The screen is disappointing.,"{'term':array(['mousepad','battery','camera','screen'],dtype=object),'polarity':array(['neutral','neutral','positive','negative'],dtype=object),'from':array([4,28,52,75],dtype=int16),'to':array([12,35,58,81],dtype=int16)}","{'category':array(['mousepad','battery','camera','screen'],dtype=object),'polarity':array(['neutral','neutral','positive','negative'],dtype=object)}"
23,The design is great. The software is decent. The GPU is impressive.,"{'term':array(['design','software','GPU'],dtype=object),'polarity':array(['positive','neutral','positive'],dtype=object),'from':array([4,25,49],dtype=int16),'to':array([10,33,52],dtype=int16)}","{'category':array(['design','software','GPU'],dtype=object),'polarity':array(['positive','neutral','positive'],dtype=object)}"
24,The battery is fair. The RAM is amazing. The design is good. The software is average.,"{'term':array(['battery','RAM','design','software'],dtype=object),'polarity':array(['neutral','positive','positive','neutral'],dtype=object),'from':array([4,25,45,65],dtype=int16),'to':array([11,28,51,73],dtype=int16)}","{'category':array(['battery','RAM','design','software'],dtype=object),'polarity':array(['neutral','positive','positive','neutral'],dtype=object)}"
25,The camera is terrible. The screen is good. The software is adequate. The RAM is amazing.,"{'term':array(['camera','screen','software','RAM'],dtype=object),'polarity':array(['negative','positive','neutral','positive'],dtype=object),'from':array([4,28,48,74],dtype=int16),'to':array([10,34,56,77],dtype=int16)}","{'category':array(['camera','screen','software','RAM'],dtype=object),'polarity':array(['negative','positive','neutral','positive'],dtype=object)}"
26,The software is standard. The GPU is bad.,"{'term':array(['software','GPU'],dtype=object),'polarity':array(['neutral','negative'],dtype=object),'from':array([4,30],dtype=int16),'to':array([12,33],dtype=int16)}","{'category':array(['software','GPU'],dtype=object),'polarity':array(['neutral','negative'],dtype=object)}"
27,The screen is adequate. The hardware is terrible. The mousepad is disappointing. The battery is unpleasant.,"{'term':array(['screen','hardware','mousepad','battery'],dtype=object),'polarity':array(['neutral','negative','negative','negative'],dtype=object),'from':array([4,28,54,85],dtype=int16),'to':array([10,36,62,92],dtype=int16)}","{'category':array(['screen','hardware','mousepad','battery'],dtype=object),'polarity':array(['neutral','negative','negative','negative'],dtype=object)}"
28,The screen is adequate. The GPU is disappointing. The hardware is disappointing. The keyboard is excellent.,"{'term':array(['screen','GPU','hardware','keyboard'],dtype=object),'polarity':array(['neutral','negative','negative','positive'],dtype=object),'from':array([4,28,54,85],dtype=int16),'to':array([10,31,62,93],dtype=int16)}","{'category':array(['screen','GPU','hardware','keyboard'],dtype=object),'polarity':array(['neutral','negative','negative','positive'],dtype=object)}"
29,The battery is bad. The keyboard is bad. The screen is great.,"{'term':array(['battery','keyboard','screen'],dtype=object),'polarity':array(['negative','negative','positive'],dtype=object),'from':array([4,24,45],dtype=int16),'to':array([11,32,51],dtype=int16)}","{'category':array(['battery','keyboard','screen'],dtype=object),'polarity':array(['negative','negative','positive'],dtype=object)}"
30,The RAM is great. The battery is poor.,"{'term':array(['RAM','battery'],dtype=object),'polarity':array(['positive','negative'],dtype=object),'from':array([4,22],dtype=int16),'to':array([7,29],dtype=int16)}","{'category':array(['RAM','battery'],dtype=object),'polarity':array(['positive','negative'],dtype=object)}"
31,The RAM is decent. The hardware is amazing.,"{'term':array(['RAM','hardware'],dtype=object),'polarity':array(['neutral','positive'],dtype=object),'from':array([4,23],dtype=int16),'to':array([7,31],dtype=int16)}","{'category':array(['RAM','hardware'],dtype=object),'polarity':array(['neutral','positive'],dtype=object)}"
32,The screen is excellent. The GPU is standard. The hardware is fair. The software is impressive.,"{'term':array(['screen','GPU','hardware','software'],dtype=object),'polarity':array(['positive','neutral','neutral','positive'],dtype=object),'from':array([4,29,50,72],dtype=int16),'to':array([10,32,58,80],dtype=int16)}","{'category':array(['screen','GPU','hardware','software'],dtype=object),'polarity':array(['positive','neutral','neutral','positive'],dtype=object)}"
33,The camera is decent. The screen is disappointing. The software is decent.,"{'term':array(['camera','screen','software'],dtype=object),'polarity':array(['neutral','negative','neutral'],dtype=object),'from':array([4,26,55],dtype=int16),'to':array([10,32,63],dtype=int16)}","{'category':array(['camera','screen','software'],dtype=object),'polarity':array(['neutral','negative','neutral'],dtype=object)}"
34,The camera is adequate. The battery is standard.,"{'term':array(['camera','battery'],dtype=object),'polarity':array(['neutral','neutral'],dtype=object),'from':array([4,28],dtype=int16),'to':array([10,35],dtype=int16)}","{'category':array(['camera','battery'],dtype=object),'polarity':array(['neutral','neutral'],dtype=object)}"
35,The mousepad is excellent. The battery is decent.,"{'term':array(['mousepad','battery'],dtype=object),'polarity':array(['positive','neutral'],dtype=object),'from':array([4,31],dtype=int16),'to':array([12,38],dtype=int16)}","{'category':array(['mousepad','battery'],dtype=object),'polarity':array(['positive','neutral'],dtype=object)}"
36,The GPU is great. The mousepad is poor. The screen is good.,"{'term':array(['GPU','mousepad','screen'],dtype=object),'polarity':array(['positive','negative','positive'],dtype=object),'from':array([4,22,44],dtype=int16),'to':array([7,30,50],dtype=int16)}","{'category':array(['GPU','mousepad','screen'],dtype=object),'polarity':array(['positive','negative','positive'],dtype=object)}"
37,The camera is fair. The design is decent. The RAM is excellent. The keyboard is standard.,"{'term':array(['camera','design','RAM','keyboard'],dtype=object),'polarity':array(['neutral','neutral','positive','neutral'],dtype=object),'from':array([4,24,46,68],dtype=int16),'to':array([10,30,49,76],dtype=int16)}","{'category':array(['camera','design','RAM','keyboard'],dtype=object),'polarity':array(['neutral','neutral','positive','neutral'],dtype=object)}"
38,The hardware is great. The camera is adequate.,"{'term':array(['hardware','camera'],dtype=object),'polarity':array(['positive','neutral'],dtype=object),'from':array([4,27],dtype=int16),'to':array([12,33],dtype=int16)}","{'category':array(['hardware','camera'],dtype=object),'polarity':array(['positive','neutral'],dtype=object)}"
39,The screen is unpleasant. The GPU is adequate.,"{'term':array(['screen','GPU'],dtype=object),'polarity':array(['negative','neutral'],dtype=object),'from':array([4,30],dtype=int16),'to':array([10,33],dtype=int16)}","{'category':array(['screen','GPU'],dtype=object),'polarity':array(['negative','neutral'],dtype=object)}"
40,The battery is standard. The mousepad is decent. The hardware is average.,"{'term':array(['battery','mousepad','hardware'],dtype=object),'polarity':array(['neutral','neutral','neutral'],dtype=object),'from':array([4,29,53],dtype=int16),'to':array([11,37,61],dtype=int16)}","{'category':array(['battery','mousepad','hardware'],dtype=object),'polarity':array(['neutral','neutral','neutral'],dtype=object)}"
41,The GPU is bad. The software is terrible. The battery is great. The RAM is poor.,"{'term':array(['GPU','software','battery','RAM'],dtype=object),'polarity':array(['negative','negative','positive','negative'],dtype=object),'from':array([4,20,46,68],dtype=int16),'to':array([7,28,53,71],dtype=int16)}","{'category':array(['GPU','software','battery','RAM'],dtype=object),'polarity':array(['negative','negative','positive','negative'],dtype=object)}"
42,The battery is poor. The design is poor. The software is average. The hardware is decent.,"{'term':array(['battery','design','software','hardware'],dtype=object),'polarity':array(['negative','negative','neutral','neutral'],dtype=object),'from':array([4,25,45,70],dtype=int16),'to':array([11,31,53,78],dtype=int16)}","{'category':array(['battery','design','software','hardware'],dtype=object),'polarity':array(['negative','negative','neutral','neutral'],dtype=object)}"
43,The camera is excellent. The screen is amazing. The mousepad is impressive. The RAM is amazing.,"{'term':array(['camera','screen','mousepad','RAM'],dtype=object),'polarity':array(['positive','positive','positive','positive'],dtype=object),'from':array([4,29,52,80],dtype=int16),'to':array([10,35,60,83],dtype=int16)}","{'category':array(['camera','screen','mousepad','RAM'],dtype=object),'polarity':array(['positive','positive','positive','positive'],dtype=object)}"
44,The battery is amazing. The screen is standard. The RAM is terrible. The mousepad is standard.,"{'term':array(['battery','screen','RAM','mousepad'],dtype=object),'polarity':array(['positive','neutral','negative','neutral'],dtype=object),'from':array([4,28,52,73],dtype=int16),'to':array([11,34,55,81],dtype=int16)}","{'category':array(['battery','screen','RAM','mousepad'],dtype=object),'polarity':array(['positive','neutral','negative','neutral'],dtype=object)}"
45,The RAM is fair. The GPU is good. The screen is amazing.,"{'term':array(['RAM','GPU','screen'],dtype=object),'polarity':array(['neutral','positive','positive'],dtype=object),'from':array([4,21,38],dtype=int16),'to':array([7,24,44],dtype=int16)}","{'category':array(['RAM','GPU','screen'],dtype=object),'polarity':array(['neutral','positive','positive'],dtype=object)}"
46,The design is adequate. The keyboard is bad.,"{'term':array(['design','keyboard'],dtype=object),'polarity':array(['neutral','negative'],dtype=object),'from':array([4,28],dtype=int16),'to':array([10,36],dtype=int16)}","{'category':array(['design','keyboard'],dtype=object),'polarity':array(['neutral','negative'],dtype=object)}"
47,The battery is adequate. The camera is great.,"{'term':array(['battery','camera'],dtype=object),'polarity':array(['neutral','positive'],dtype=object),'from':array([4,29],dtype=int16),'to':array([11,35],dtype=int16)}","{'category':array(['battery','camera'],dtype=object),'polarity':array(['neutral','positive'],dtype=object)}"
48,The battery is excellent. The hardware is terrible. The design is decent. The camera is bad.,"{'term':array(['battery','hardware','design','camera'],dtype=object),'polarity':array(['positive','negative','neutral','negative'],dtype=object),'from':array([4,30,56,78],dtype=int16),'to':array([11,38,62,84],dtype=int16)}","{'category':array(['battery','hardware','design','camera'],dtype=object),'polarity':array(['positive','negative','neutral','negative'],dtype=object)}"
49,The keyboard is standard. The software is impressive.,"{'term':array(['keyboard','software'],dtype=object),'polarity':array(['neutral','positive'],dtype=object),'from':array([4,30],dtype=int16),'to':array([12,38],dtype=int16)}","{'category':array(['keyboard','software'],dtype=object),'polarity':array(['neutral','positive'],dtype=object)}"
50,The mousepad is amazing. The keyboard is standard. The design is impressive.,"{'term':array(['mousepad','keyboard','design'],dtype=object),'polarity':array(['positive','neutral','positive'],dtype=object),'from':array([4,29,55],dtype=int16),'to':array([12,37,61],dtype=int16)}","{'category':array(['mousepad','keyboard','design'],dtype=object),'polarity':array(['positive','neutral','positive'],dtype=object)}"
51,The camera is terrible. The keyboard is fair. The screen is adequate.,"{'term':array(['camera','keyboard','screen'],dtype=object),'polarity':array(['negative','neutral','neutral'],dtype=object),'from':array([4,28,50],dtype=int16),'to':array([10,36,56],dtype=int16)}","{'category':array(['camera','keyboard','screen'],dtype=object),'polarity':array(['negative','neutral','neutral'],dtype=object)}"
52,The mousepad is standard. The keyboard is average. The battery is impressive. The design is disappointing.,"{'term':array(['mousepad','keyboard','battery','design'],dtype=object),'polarity':array(['neutral','neutral','positive','negative'],dtype=object),'from':array([4,30,55,82],dtype=int16),'to':array([12,38,62,88],dtype=int16)}","{'category':array(['mousepad','keyboard','battery','design'],dtype=object),'polarity':array(['neutral','neutral','positive','negative'],dtype=object)}"
53,The camera is decent. The hardware is adequate. The software is adequate. The mousepad is bad.,"{'term':array(['camera','hardware','software','mousepad'],dtype=object),'polarity':array(['neutral','neutral','neutral','negative'],dtype=object),'from':array([4,26,52,78],dtype=int16),'to':array([10,34,60,86],dtype=int16)}","{'category':array(['camera','hardware','software','mousepad'],dtype=object),'polarity':array(['neutral','neutral','neutral','negative'],dtype=object)}"
54,The screen is great. The software is bad.,"{'term':array(['screen','software'],dtype=object),'polarity':array(['positive','negative'],dtype=object),'from':array([4,25],dtype=int16),'to':array([10,33],dtype=int16)}","{'category':array(['screen','software'],dtype=object),'polarity':array(['positive','negative'],dtype=object)}"
55,The battery is excellent. The hardware is disappointing.,"{'term':array(['battery','hardware'],dtype=object),'polarity':array(['positive','negative'],dtype=object),'from':array([4,30],dtype=int16),'to':array([11,38],dtype=int16)}","{'category':array(['battery','hardware'],dtype=object),'polarity':array(['positive','negative'],dtype=object)}"
56,The battery is fair. The RAM is fair. The software is fair. The GPU is standard.,"{'term':array(['battery','RAM','software','GPU'],dtype=object),'polarity':array(['neutral','neutral','neutral','neutral'],dtype=object),'from':array([4,25,42,64],dtype=int16),'to':array([11,28,50,67],dtype=int16)}","{'category':array(['battery','RAM','software','GPU'],dtype=object),'polarity':array(['neutral','neutral','neutral','neutral'],dtype=object)}"
57,The RAM is amazing. The mousepad is poor. The software is poor. The battery is standard.,"{'term':array(['RAM','mousepad','software','battery'],dtype=object),'polarity':array(['positive','negative','negative','neutral'],dtype=object),'from':array([4,24,46,68],dtype=int16),'to':array([7,32,54,75],dtype=int16)}","{'category':array(['RAM','mousepad','software','battery'],dtype=object),'polarity':array(['positive','negative','negative','neutral'],dtype=object)}"
58,The hardware is impressive. The keyboard is impressive. The RAM is great.,"{'term':array(['hardware','keyboard','RAM'],dtype=object),'polarity':array(['positive','positive','positive'],dtype=object),'from':array([4,32,60],dtype=int16),'to':array([12,40,63],dtype=int16)}","{'category':array(['hardware','keyboard','RAM'],dtype=object),'polarity':array(['positive','positive','positive'],dtype=object)}"
59,The mousepad is fair. The software is average.,"{'term':array(['mousepad','software'],dtype=object),'polarity':array(['neutral','neutral'],dtype=object),'from':array([4,26],dtype=int16),'to':array([12,34],dtype=int16)}","{'category':array(['mousepad','software'],dtype=object),'polarity':array(['neutral','neutral'],dtype=object)}"
60,The RAM is average. The keyboard is poor. The software is fair.,"{'term':array(['RAM','keyboard','software'],dtype=object),'polarity':array(['neutral','negative','neutral'],dtype=object),'from':array([4,24,46],dtype=int16),'to':array([7,32,54],dtype=int16)}","{'category':array(['RAM','keyboard','software'],dtype=object),'polarity':array(['neutral','negative','neutral'],dtype=object)}"
61,The design is impressive. The battery is disappointing. The hardware is poor.,"{'term':array(['design','battery','hardware'],dtype=object),'polarity':array(['positive','negative','negative'],dtype=object),'from':array([4,30,60],dtype=int16),'to':array([10,37,68],dtype=int16)}","{'category':array(['design','battery','hardware'],dtype=object),'polarity':array(['positive','negative','negative'],dtype=object)}"
62,The mousepad is poor. The camera is unpleasant.,"{'term':array(['mousepad','camera'],dtype=object),'polarity':array(['negative','negative'],dtype=object),'from':array([4,26],dtype=int16),'to':array([12,32],dtype=int16)}","{'category':array(['mousepad','camera'],dtype=object),'polarity':array(['negative','negative'],dtype=object)}"
63,The screen is excellent. The mousepad is average.,"{'term':array(['screen','mousepad'],dtype=object),'polarity':array(['positive','neutral'],dtype=object),'from':array([4,29],dtype=int16),'to':array([10,37],dtype=int16)}","{'category':array(['screen','mousepad'],dtype=object),'polarity':array(['positive','neutral'],dtype=object)}"
64,The design is adequate. The camera is terrible.,"{'term':array(['design','camera'],dtype=object),'polarity':array(['neutral','negative'],dtype=object),'from':array([4,28],dtype=int16),'to':array([10,34],dtype=int16)}","{'category':array(['design','camera'],dtype=object),'polarity':array(['neutral','negative'],dtype=object)}"
65,The mousepad is impressive. The screen is decent. The keyboard is standard.,"{'term':array(['mousepad','screen','keyboard'],dtype=object),'polarity':array(['positive','neutral','neutral'],dtype=object),'from':array([4,32,54],dtype=int16),'to':array([12,38,62],dtype=int16)}","{'category':array(['mousepad','screen','keyboard'],dtype=object),'polarity':array(['positive','neutral','neutral'],dtype=object)}"
66,The RAM is unpleasant. The screen is decent. The keyboard is great.,"{'term':array(['RAM','screen','keyboard'],dtype=object),'polarity':array(['negative','neutral','positive'],dtype=object),'from':array([4,27,49],dtype=int16),'to':array([7,33,57],dtype=int16)}","{'category':array(['RAM','screen','keyboard'],dtype=object),'polarity':array(['negative','neutral','positive'],dtype=object)}"
67,The software is excellent. The keyboard is decent. The hardware is average. The RAM is impressive.,"{'term':array(['software','keyboard','hardware','RAM'],dtype=object),'polarity':array(['positive','neutral','neutral','positive'],dtype=object),'from':array([4,31,55,80],dtype=int16),'to':array([12,39,63,83],dtype=int16)}","{'category':array(['software','keyboard','hardware','RAM'],dtype=object),'polarity':array(['positive','neutral','neutral','positive'],dtype=object)}"
68,The mousepad is good. The design is adequate. The RAM is bad.,"{'term':array(['mousepad','design','RAM'],dtype=object),'polarity':array(['positive','neutral','negative'],dtype=object),'from':array([4,26,50],dtype=int16),'to':array([12,32,53],dtype=int16)}","{'category':array(['mousepad','design','RAM'],dtype=object),'polarity':array(['positive','neutral','negative'],dtype=object)}"
69,The mousepad is standard. The camera is terrible.,"{'term':array(['mousepad','camera'],dtype=object),'polarity':array(['neutral','negative'],dtype=object),'from':array([4,30],dtype=int16),'to':array([12,36],dtype=int16)}","{'category':array(['mousepad','camera'],dtype=object),'polarity':array(['neutral','negative'],dtype=object)}"
70,The camera is standard. The GPU is great. The hardware is excellent. The screen is good.,"{'term':array(['camera','GPU','hardware','screen'],dtype=object),'polarity':array(['neutral','positive','positive','positive'],dtype=object),'from':array([4,28,46,73],dtype=int16),'to':array([10,31,54,79],dtype=int16)}","{'category':array(['camera','GPU','hardware','screen'],dtype=object),'polarity':array(['neutral','positive','positive','positive'],dtype=object)}"
71,The keyboard is standard. The RAM is disappointing.,"{'term':array(['keyboard','RAM'],dtype=object),'polarity':array(['neutral','negative'],dtype=object),'from':array([4,30],dtype=int16),'to':array([12,33],dtype=int16)}","{'category':array(['keyboard','RAM'],dtype=object),'polarity':array(['neutral','negative'],dtype=object)}"
72,The design is amazing. The software is average.,"{'term':array(['design','software'],dtype=object),'polarity':array(['positive','neutral'],dtype=object),'from':array([4,27],dtype=int16),'to':array([10,35],dtype=int16)}","{'category':array(['design','software'],dtype=object),'polarity':array(['positive','neutral'],dtype=object)}"
73,The screen is amazing. The RAM is excellent. The design is terrible.,"{'term':array(['screen','RAM','design'],dtype=object),'polarity':array(['positive','positive','negative'],dtype=object),'from':array([4,27,49],dtype=int16),'to':array([10,30,55],dtype=int16)}","{'category':array(['screen','RAM','design'],dtype=object),'polarity':array(['positive','positive','negative'],dtype=object)}"
74,The mousepad is average. The GPU is terrible. The battery is terrible. The RAM is fair.,"{'term':array(['mousepad','GPU','battery','RAM'],dtype=object),'polarity':array(['neutral','negative','negative','neutral'],dtype=object),'from':array([4,29,50,75],dtype=int16),'to':array([12,32,57,78],dtype=int16)}","{'category':array(['mousepad','GPU','battery','RAM'],dtype=object),'polarity':array(['neutral','negative','negative','neutral'],dtype=object)}"
75,The mousepad is excellent. The RAM is fair. The screen is impressive. The keyboard is standard.,"{'term':array(['mousepad','RAM','screen','keyboard'],dtype=object),'polarity':array(['positive','neutral','positive','neutral'],dtype=object),'from':array([4,31,48,74],dtype=int16),'to':array([12,34,54,82],dtype=int16)}","{'category':array(['mousepad','RAM','screen','keyboard'],dtype=object),'polarity':array(['positive','neutral','positive','neutral'],dtype=object)}"
76,The camera is poor. The keyboard is poor.,"{'term':array(['camera','keyboard'],dtype=object),'polarity':array(['negative','negative'],dtype=object),'from':array([4,24],dtype=int16),'to':array([10,32],dtype=int16)}","{'category':array(['camera','keyboard'],dtype=object),'polarity':array(['negative','negative'],dtype=object)}"
77,The mousepad is unpleasant. The screen is bad.,"{'term':array(['mousepad','screen'],dtype=object),'polarity':array(['negative','negative'],dtype=object),'from':array([4,32],dtype=int16),'to':array([12,38],dtype=int16)}","{'category':array(['mousepad','screen'],dtype=object),'polarity':array(['negative','negative'],dtype=object)}"
78,The battery is average. The mousepad is disappointing.,"{'term':array(['battery','mousepad'],dtype=object),'polarity':array(['neutral','negative'],dtype=object),'from':array([4,28],dtype=int16),'to':array([11,36],dtype=int16)}","{'category':array(['battery','mousepad'],dtype=object),'polarity':array(['neutral','negative'],dtype=object)}"
79,The screen is unpleasant. The camera is impressive. The keyboard is disappointing. The design is fair.,"{'term':array(['screen','camera','keyboard','design'],dtype=object),'polarity':array(['negative','positive','negative','neutral'],dtype=object),'from':array([4,30,56,87],dtype=int16),'to':array([10,36,64,93],dtype=int16)}","{'category':array(['screen','camera','keyboard','design'],dtype=object),'polarity':array(['negative','positive','negative','neutral'],dtype=object)}"
80,The battery is impressive. The keyboard is fair. The hardware is average.,"{'term':array(['battery','keyboard','hardware'],dtype=object),'polarity':array(['positive','neutral','neutral'],dtype=object),'from':array([4,31,53],dtype=int16),'to':array([11,39,61],dtype=int16)}","{'category':array(['battery','keyboard','hardware'],dtype=object),'polarity':array(['positive','neutral','neutral'],dtype=object)}"
81,The camera is amazing. The RAM is fair. The battery is decent. The mousepad is unpleasant.,"{'term':array(['camera','RAM','battery','mousepad'],dtype=object),'polarity':array(['positive','neutral','neutral','negative'],dtype=object),'from':array([4,27,44,67],dtype=int16),'to':array([10,30,51,75],dtype=int16)}","{'category':array(['camera','RAM','battery','mousepad'],dtype=object),'polarity':array(['positive','neutral','neutral','negative'],dtype=object)}"
82,The hardware is adequate. The mousepad is amazing. The battery is good. The design is bad.,"{'term':array(['hardware','mousepad','battery','design'],dtype=object),'polarity':array(['neutral','positive','positive','negative'],dtype=object),'from':array([4,30,55,76],dtype=int16),'to':array([12,38,62,82],dtype=int16)}","{'category':array(['hardware','mousepad','battery','design'],dtype=object),'polarity':array(['neutral','positive','positive','negative'],dtype=object)}"
